slug,url,post_id,appended_at,backlinks,parents
agentforce-agent-script,https://cross-com.jp/agentforce-agent-script/,6642,2026-09-11 18:00:15,1,agentforce-no-code-scope
agentforce-einstein-difference,https://cross-com.jp/agentforce-einstein-difference/,6605,2026-09-15 01:34:07,1,salesforce-ai
agentforce-employee-agent,https://cross-com.jp/agentforce-employee-agent/,6815,2026-09-11 18:20:12,1,agentforce-data-library
agentforce-for-sales-sdr-sales-coach,https://cross-com.jp/agentforce-for-sales-sdr-sales-coach/,6234,2026-09-11 17:48:23,1,agentforce-sales-roleplay
agentforce-mcp,https://cross-com.jp/agentforce-mcp/,6645,2026-09-11 17:59:53,1,agentforce-subagents
agentforce-observability,https://cross-com.jp/agentforce-observability/,6644,2026-09-11 17:48:43,1,agentforce-sales-meeting
agentforce-rag,https://cross-com.jp/agentforce-rag/,6604,2026-09-11 17:46:35,1,agentforce-data-library
agentforce-reasoning-control,https://cross-com.jp/agentforce-reasoning-control/,6648,2026-09-11 17:46:14,1,agentforce-subagents
agentforce-retention,https://cross-com.jp/agentforce-retention/,6260,2026-09-11 17:45:53,1,sfa-teichaku
agentforce-roi,https://cross-com.jp/agentforce-roi/,6647,2026-09-11 17:47:41,1,agentforce-lost-deal-analysis
agentforce-security-risk-design,https://cross-com.jp/agentforce-security-risk-design/,6607,2026-09-11 17:59:30,1,agentforce-permission-set
agentforce-service-agent,https://cross-com.jp/agentforce-service-agent/,6344,2026-09-15 01:34:10,1,agentforce-voice
agentforce-small-business,https://cross-com.jp/agentforce-small-business/,6554,2026-09-11 17:49:04,1,agentforce-data-volume
agentforce-subagents,https://cross-com.jp/agentforce-subagents/,7124,2026-09-16 15:54:47,1,multi-agent
agentforce-testing-center,https://cross-com.jp/agentforce-testing-center/,6643,2026-09-16 16:02:06,1,agentforce-error-tolerance
agentforce-usage,https://cross-com.jp/agentforce-usage/,6606,2026-09-11 17:49:26,1,agentforce-no-code-scope
agentforce-use-cases,https://cross-com.jp/agentforce-use-cases/,6603,2026-09-11 17:47:20,1,agentforce-sales-dependency
agentforce-usecase-selection,https://cross-com.jp/agentforce-usecase-selection/,6646,2026-09-11 18:22:02,1,agentforce-data-volume
buyer-enablement,https://cross-com.jp/buyer-enablement/,6724,2026-09-15 22:19:19,1,agentic-crm-sales-enablement
einstein-trust-layer,https://cross-com.jp/einstein-trust-layer/,6816,2026-09-11 17:46:56,1,agentforce-permission-set
hyper-personalization,https://cross-com.jp/hyper-personalization/,6235,2026-09-15 16:53:36,1,agentic-crm-cs-handback
revops-guide,https://cross-com.jp/revops-guide/,6402,2026-09-15 16:55:22,1,agentic-crm-role-design
salesforce-data-360,https://cross-com.jp/salesforce-data-360/,6829,2026-09-15 22:17:42,1,agentic-crm-data-deduplication
